,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
331,29.0,17,13,3.05,10.18,2.174,0.143,2.031,1.3,28.88,80.43
332,33.2,17,7,1.3,5.94,1.989,0.026,1.97,2.53,28.61,78.37
333,21.3,8,12,2.75,8.79,0.0,0.0,0.0,2.56,30.34,69.51
334,20.0,11,15,3.03,11.54,2.007,0.157,1.85,1.79,30.52,72.51
335,25.7,9,5,1.83,3.34,0.0,0.0,0.0,1.5,29.22,73.65
336,22.3,13,13,2.39,10.13,1.864,0.093,1.771,2.33,30.52,73.26
337,20.7,15,15,3.68,11.56,1.858,0.133,1.725,2.07,30.3,71.61
338,17.9,12,16,3.93,12.11,1.81,0.098,1.712,1.8,30.26,72.92
339,18.9,7,18,5.3,13.02,1.948,0.139,1.808,2.35,30.31,76.29
340,21.6,12,13,2.52,10.18,1.883,0.099,1.783,2.21,29.96,73.91
341,19.3,14,14,4.36,9.94,2.166,0.191,1.975,1.46,29.89,76.6
342,21.1,12,12,2.23,10.06,1.931,0.102,1.829,2.29,30.26,73.46
343,22.2,13,8,1.62,5.93,1.911,0.026,1.891,2.66,29.39,76.42
344,17.7,9,17,3.86,13.16,1.991,0.158,1.834,1.16,30.45,74.8
345,16.9,9,15,4.63,10.19,1.898,0.124,1.774,2.21,29.95,75.53
346,13.8,6,18,6.15,11.85,1.936,0.149,1.787,2.24,29.91,78.33
347,14.4,11,16,5.15,11.18,1.863,0.143,1.721,1.99,30.09,72.33
348,17.2,9,14,3.56,10.34,1.908,0.103,1.804,2.17,29.74,74.55
349,16.8,9,14,3.81,9.8,1.942,0.115,1.827,2.36,29.89,74.43
350,14.0,6,18,5.31,12.55,1.995,0.179,1.816,1.12,30.18,76.65
351,21.1,8,6,2.29,3.39,0.0,0.0,0.0,1.38,28.68,76.0
352,17.7,6,11,3.12,8.24,0.0,0.0,0.0,2.79,29.83,73.08
353,15.6,8,12,3.96,8.46,2.122,0.155,1.967,1.46,29.74,76.73
